,City,Cloudiness,Country,Date,Humidity,Latitude,Longtitude,Max Temp,Wind Speed
0,ilulissat,0,GL,1547257800,43,69.22,-51.1,-7.61,1.12
1,warmbad,92,DE,1547259600,80,50.67,13.08,39.2,11.41
2,tuatapere,0,NZ,1547259375,73,-46.13,167.69,62.93,5.06
3,avallon,92,FR,1547260768,97,47.49,3.91,34.45,5.39
4,maceio,0,BR,1547258400,73,-9.67,-35.74,77.0,3.36
5,hermanus,12,ZA,1547257990,100,-34.42,19.24,48.49,3.15
6,nouadhibou,0,MR,1547260287,82,20.93,-17.03,57.22,6.73
7,arraial do cabo,8,BR,1547259341,86,-22.97,-42.02,77.42,16.46
8,bredasdorp,32,ZA,1547258400,81,-34.53,20.04,53.6,5.82
9,benguela,44,AO,1547260769,100,-12.58,13.4,75.17,2.93
10,talnakh,32,RU,1547259605,77,69.49,88.39,-38.19,4.27
11,awjilah,0,LY,1547260311,37,29.14,21.3,48.44,12.21
12,poum,56,MK,1547260769,80,41.28,20.71,12.85,1.81
13,upernavik,32,GL,1547259593,100,72.79,-56.15,-6.28,5.73
14,victoria,75,BN,1547258400,74,5.28,115.24,86.0,3.36
15,rikitea,80,PF,1547259459,100,-23.12,-134.97,79.36,17.25
16,rancho cucamonga,75,US,1547260200,68,34.1,-117.58,62.6,8.05
17,san cristobal,40,EC,1547258400,100,-0.39,-78.55,55.4,3.36
18,kodiak,90,US,1547258100,100,39.95,-94.76,33.8,5.82
19,yellowknife,90,CA,1547254800,84,62.45,-114.38,5.0,11.41
20,torbay,75,CA,1547254800,97,47.66,-52.73,32.0,16.11
21,sinnamary,64,GF,1547260278,94,5.38,-52.96,79.13,10.2
22,luanda,40,AO,1547258400,83,-8.83,13.24,78.8,4.7
23,narsaq,75,GL,1547257800,55,60.91,-46.05,37.4,25.28
24,port elizabeth,1,US,1547258160,39,39.31,-74.98,30.92,7.18
25,puerto ayora,48,EC,1547259345,100,-0.74,-90.35,76.39,9.19
26,plettenberg bay,36,ZA,1547259647,100,-34.05,23.37,63.97,19.26
27,provideniya,20,RU,1547259359,100,64.42,-173.23,-11.23,17.92
28,prince rupert,90,CA,1547258400,93,54.32,-130.32,42.8,4.7
29,kapaa,40,US,1547258160,64,22.08,-159.32,78.98,12.75
30,lebu,0,ET,1547254800,49,8.96,38.73,48.2,9.17
31,thompson,75,CA,1547254800,70,55.74,-97.86,-4.01,2.24
32,geraldton,20,CA,1547254800,70,49.72,-86.95,-5.81,2.24
33,saint george,90,GR,1547257800,93,39.45,22.34,37.4,8.05
34,busselton,0,AU,1547259451,81,-33.64,115.35,74.32,11.77
35,mareeba,90,AU,1547258400,78,-16.99,145.42,82.4,8.05
36,san patricio,80,PY,1547259643,82,-26.98,-56.83,78.1,3.94
37,necochea,8,AR,1547260488,69,-38.55,-58.74,60.19,11.77
38,bluff,0,AU,1547258176,53,-23.58,149.07,87.77,8.63
39,saint-philippe,1,CA,1547258100,59,45.36,-73.48,5.0,4.7
40,shieli,64,KZ,1547260363,81,44.18,66.74,13.97,3.38
41,harper,90,US,1547258100,94,30.3,-99.24,56.12,4.7
42,quthing,0,LS,1547260771,52,-30.4,27.7,50.42,2.48
43,hyvinkaa,0,FI,1547259600,86,60.63,24.87,30.2,10.29
44,honiara,80,SB,1547260771,98,-9.43,159.96,79.27,2.37
45,norman wells,75,CA,1547254800,73,65.28,-126.83,-36.41,2.24
46,annonay,90,FR,1547258400,86,45.24,4.67,33.8,11.65
47,tortoli,5,IT,1547258100,60,39.93,9.66,42.8,11.41
48,hobart,0,AU,1547256600,44,-42.88,147.33,71.6,16.11
49,atuona,0,PF,1547259214,100,-9.8,-139.03,81.47,16.24
50,grenville,5,CA,1547258400,59,45.62,-74.6,5.0,4.7
51,ushuaia,40,AR,1547254800,42,-54.81,-68.31,46.4,11.41
52,namibe,8,AO,1547259607,100,-15.19,12.15,73.19,3.15
53,saldanha,0,PT,1547259609,86,41.42,-6.55,19.37,3.49
54,khorramshahr,32,IR,1547258400,80,30.43,48.18,39.2,4.7
55,vaini,0,IN,1547254800,76,15.34,74.49,55.4,2.93
56,ucluelet,20,CA,1547254800,93,48.94,-125.55,46.4,1.92
57,chokurdakh,0,RU,1547259593,0,70.62,147.9,-39.99,2.93
58,tiksi,32,RU,1547259461,47,71.64,128.87,-29.14,6.4
59,praia,0,BR,1547254800,64,-20.25,-43.81,73.4,4.5
60,severo-kurilsk,76,RU,1547259614,100,50.68,156.12,32.24,24.52
61,cabo san lucas,0,MX,1547259638,100,22.89,-109.91,72.52,2.37
62,sri aman,75,MY,1547258400,79,1.24,111.46,84.2,2.24
63,leningradskiy,8,RU,1547260021,88,69.38,178.42,-14.2,14.45
64,big spring,90,US,1547259300,77,32.25,-101.48,50.9,8.05
65,bethel,1,US,1547258880,76,60.79,-161.76,-22.01,19.46
66,dunedin,0,NZ,1547260318,76,-45.87,170.5,60.46,7.63
67,okato,0,NZ,1547260774,78,-39.19,173.88,72.16,5.84
68,manzhouli,44,CN,1547260774,72,49.6,117.43,-0.84,4.61
69,santa cruz,90,US,1547259600,76,36.97,-122.03,59.0,12.75
70,qaanaaq,24,GL,1547259589,100,77.48,-69.36,-18.16,10.54
71,mataura,0,NZ,1547259845,53,-46.19,168.86,69.91,4.05
72,makakilo city,20,US,1547258220,60,21.35,-158.09,78.98,10.29
73,marivan,8,IR,1547260775,60,35.52,46.18,15.19,4.16
74,ribeira grande,20,PT,1547256600,77,38.52,-28.7,59.0,17.22
75,ponta do sol,64,BR,1547259592,78,-20.63,-46.0,69.01,3.38
76,hofn,0,IS,1547260037,96,64.25,-15.21,40.21,15.79
77,valdepenas,0,ES,1547260776,85,38.76,-3.38,23.78,7.96
78,punta arenas,75,CL,1547258400,100,-53.16,-70.91,44.6,27.51
79,kosikha,0,RU,1547258400,77,53.36,84.58,-2.21,6.71
80,aklavik,90,CA,1547258400,67,68.22,-135.01,-22.01,3.36
81,verkhnyaya inta,80,RU,1547260776,69,65.99,60.32,1.42,4.94
82,laguna,0,MX,1547260639,83,27.52,-110.01,61.49,2.71
83,espera feliz,64,BR,1547260776,93,-20.65,-41.91,65.5,4.27
84,avera,1,US,1547259300,77,33.19,-82.53,44.6,3.36
85,dikson,0,RU,1547259461,94,73.51,80.55,-21.31,17.92
86,sidi ali,0,DZ,1547260777,89,36.1,0.42,30.04,3.38
